House,Time,TV,Agg,hour,half_hour,quarter_hour,hour_float,TV_min,TV_max,max_consumption,half_consumption_power,on_threshold,on,Agg_diff,switched_on_tv
3,534.0,66.24,68.73599999999999,8,17,35,8.9,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.8709999999999951,0
3,535.0,67.212,69.93800000000002,8,17,35,8.916666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.2020000000000266,0
3,536.0,68.321,70.05299999999998,8,17,35,8.933333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.11499999999996646,0
3,537.0,64.763,67.384,8,17,35,8.95,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.6689999999999827,0
3,538.0,63.527,66.31200000000001,8,17,35,8.966666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.0719999999999885,0
3,539.0,64.85600000000001,67.002,8,17,35,8.983333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.6899999999999835,0
3,540.0,66.988,69.191,9,18,36,9.0,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.189000000000007,0
3,541.0,63.028999999999996,64.804,9,18,36,9.016666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-4.3870000000000005,0
3,542.0,61.85,64.467,9,18,36,9.033333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.3370000000000033,0
3,543.0,66.384,69.29,9,18,36,9.05,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,4.8230000000000075,0
3,544.0,65.6,67.52899999999998,9,18,36,9.066666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.761000000000024,0
3,545.0,66.352,68.727,9,18,36,9.083333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.1980000000000217,0
